Time,Velocity,Acceleration,Apogee,Predicted DP
3.175000000000000044e-01,4.386425473746692916e+01,1.450747121471574133e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-01,4.422704337374736383e+01,1.451542091343177958e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.225000000000000089e-01,4.459003166373414473e+01,1.452344170198424820e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-01,4.495322049284358457e+01,1.453146222458841237e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.275000000000000133e-01,4.531660985374096384e+01,1.453948247497781665e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000155e-01,4.568019974089436630e+01,1.454750244647351849e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.325000000000000178e-01,4.604398595535529637e+01,1.455518681239629757e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.350000000000000200e-01,4.640796429680210622e+01,1.456287077478215792e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000222e-01,4.677213475511798890e+01,1.457055432726475601e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-01,4.713649732002701143e+01,1.457823746346929568e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.425000000000000266e-01,4.750104749704335205e+01,1.458556143585725522e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.450000000000000289e-01,4.786578078952167203e+01,1.459288485877770256e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.475000000000000311e-01,4.823069718369678327e+01,1.460020772594410516e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,4.859579666564569322e+01,1.460753003100459750e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.524999999999999800e-01,4.896108562499073713e+01,1.461536406837464597e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.549999999999999822e-01,4.932657045367092508e+01,1.462319771142318814e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.574999999999999845e-01,4.969225114179783276e+01,1.463103095347299814e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.599999999999999867e-01,5.005812767931586649e+01,1.463886378782356701e+02,0.000000000000000000e+00,0.000000000000000000e+00
