timestamp,pyrostat,servostat,accel,barometer,baro_alt_filtered,baro_vel_filtered,temp,gyro,magnetometer,heading,gps_fix_status,lat,lon,gpsalt,pdop,hdop,vdop,flight_time,last_rec,yaw_gyro_int,pitch_gyro_int,roll_gyro_int,batt_voltage,rocket_state,pktnum,rssi,armed_pyros,fired_pyros,badpackets,rxrssi,accel_integrated_velo,baro_max_alt,gps_max_alt
1762635758.1572928,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.80665, -0.5746083984375, -0.49799394531249996]",6180984,9.237091064453125,0.6855140924453735,8798072,"[-0.09155273436, -0.03051757812, 0.1525878906]","[-190.3125, 449.1875, 204.375]",43.630672454833984,1,42.702613830566406,-77.19052124023438,-8.79998779296875,1.0499999523162842,0.5799999833106995,0.8700000047683716,470420,20,-38.22953796386719,18.484495162963867,65.81437683105469,11.670580863952637,state.PRE_FLIGHT,8299,-54,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-69,0.0,9.884033203125,1.800018310546875
1762635758.2086115,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.5001921875, -0.49799394531249996, -0.6512228515624999]",6181400,8.830657958984375,-0.25851261615753174,8798488,"[0.03051757812, 0.48828124992, 0.21362304684]","[-198.6875, 428.1875, 234.125]",40.98390579223633,1,42.702613830566406,-77.19052124023438,-8.79998779296875,1.0499999523162842,0.5799999833106995,0.8700000047683716,470471,11,-38.23064041137695,18.492555618286133,65.82424926757812,11.71625804901123,state.PRE_FLIGHT,8300,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-69,0.0,9.884033203125,1.800018310546875
1762635758.2581775,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.4618849609375, -0.45968671875, -0.45968671875]",6181304,8.76885986328125,-1.0247546434402466,8798456,"[0.06103515624, 1.46484374976, 0.12207031248]","[-188.9375, 464.3125, 199.5625]",44.10521697998047,1,42.702613830566406,-77.19052124023438,-8.79998779296875,1.0499999523162842,0.5799999833106995,0.8700000047683716,470521,10,-38.22880935668945,18.501100540161133,65.88932800292969,11.670580863952637,state.PRE_FLIGHT,8301,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-69,0.0,9.884033203125,1.800018310546875
1762635758.316633,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.576806640625, -0.842758984375, -1.0726023437499999]",6181656,8.88714599609375,-0.8332705497741699,8798776,"[-0.03051757812, -0.0, -0.03051757812]","[-204.75, 434.4375, 251.8125]",39.7745475769043,1,42.702613830566406,-77.19052124023438,-8.79998779296875,1.0499999523162842,0.5799999833106995,0.8700000047683716,470583,20,-38.229557037353516,18.506742477416992,65.92330169677734,11.761935234069824,state.PRE_FLIGHT,8302,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-70,0.0,9.884033203125,1.800018310546875
1762635758.3686085,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.3086560546875, -0.5363011718749999, -0.4213794921875]",6181240,8.395294189453125,-1.63333261013031,8799000,"[-0.1525878906, 0.03051757812, -0.03051757812]","[-202.4375, 424.375, 246.625]",40.04120635986328,1,42.702613830566406,-77.19052124023438,-8.79998779296875,1.0499999523162842,0.5799999833106995,0.8700000047683716,470634,10,-38.237491607666016,18.507596969604492,65.91146087646484,11.670580863952637,state.PRE_FLIGHT,8303,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-70,0.0,9.884033203125,1.800018310546875
1762635758.4250426,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.6917283203125, -0.3447650390625, -0.076614453125]",6180888,9.0924072265625,-0.4170735776424408,8797912,"[-0.3051757812, -0.03051757812, -0.03051757812]","[-211.5625, 430.625, 278.0]",37.921810150146484,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,470690,15,-38.250553131103516,18.506866455078125,65.92342376708984,11.624903678894043,state.PRE_FLIGHT,8304,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-70,0.0,9.884033203125,1.800018310546875
1762635758.4882188,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.34696328125, -0.3064578125, -0.6512228515624999]",6181592,8.88861083984375,-0.2577645480632782,8798936,"[-0.24414062496, -0.57983398428, -0.03051757812]","[-198.8125, 458.6875, 231.0625]",41.37561798095703,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,470750,20,-38.267269134521484,18.506256103515625,65.88790893554688,11.944644927978516,state.PRE_FLIGHT,8305,-54,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-68,0.0,9.884033203125,1.800018310546875
1762635758.5382648,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.5384994140625, -0.45968671875, -0.689530078125]",6181080,9.14599609375,0.1989092081785202,8799288,"[-0.18310546872, 0.70190429676, 0.03051757812]","[-189.0625, 463.625, 203.125]",43.61766052246094,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,470802,11,-38.27714920043945,18.507217407226562,65.88628387451172,11.693419456481934,state.PRE_FLIGHT,8306,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-68,0.0,9.884033203125,1.800018310546875
1762635758.5867152,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.4618849609375, -0.3064578125, -1.0342951171875]",6181816,9.0091552734375,-0.1128060445189476,8798488,"[0.0, 0.48828124992, 0.12207031248]","[-210.75, 440.3125, 268.6875]",38.764366149902344,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,470852,11,-38.28081130981445,18.512590408325195,65.93157958984375,11.670580863952637,state.PRE_FLIGHT,8307,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-70,0.0,9.884033203125,1.800018310546875
1762635758.6497848,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.7683427734375, -0.38307226562499996, -0.5363011718749999]",6181944,8.5662841796875,-1.3260009288787842,8798552,"[0.03051757812, -0.09155273436, 0.18310546872]","[-208.125, 423.1875, 263.6875]",38.93932342529297,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,470914,20,-38.28129196166992,18.520164489746094,65.94453430175781,11.693419456481934,state.PRE_FLIGHT,8308,-54,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-69,0.0,9.884033203125,1.800018310546875
1762635758.7018192,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.5001921875, -0.5363011718749999, -0.612915625]",6180632,8.941925048828125,-0.1304263174533844,8798936,"[-0.09155273436, 0.4577636718, 0.12207031248]","[-187.4375, 459.5, 198.5]",44.02984619140625,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,470965,11,-38.28385543823242,18.527488708496094,65.97396087646484,11.670580863952637,state.PRE_FLIGHT,8309,-54,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-69,0.0,9.884033203125,1.800018310546875
1762635758.761452,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.576806640625, -0.612915625, -0.689530078125]",6180760,9.05596923828125,0.5696614384651184,8799032,"[-0.18310546872, -0.24414062496, 0.06103515624]","[-193.125, 433.0625, 221.0625]",41.808502197265625,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,471025,19,-38.29215621948242,18.532493591308594,66.00959777832031,11.739096641540527,state.PRE_FLIGHT,8310,-54,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-68,0.0,9.884033203125,1.800018310546875
1762635758.8103232,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.80665, -0.45968671875, -0.8810662109374999]",6182040,8.952484130859375,0.0517708919942379,8798680,"[-0.27465820308, 0.09155273436, -0.03051757812]","[-203.75, 419.375, 251.75]",39.64366149902344,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,471077,11,-38.30118179321289,18.532352447509766,65.99311828613281,11.71625804901123,state.PRE_FLIGHT,8311,-56,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-69,0.0,9.884033203125,1.800018310546875
1762635758.8642523,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.730035546875, -0.612915625, -1.0342951171875]",6181560,9.297088623046875,1.8254234790802002,8798744,"[-0.24414062496, 0.12207031248, -0.03051757812]","[-189.4375, 456.875, 197.25]",44.514713287353516,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,471128,10,-38.313629150390625,18.532474517822266,65.98336029052734,11.670580863952637,state.PRE_FLIGHT,8312,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-70,0.0,9.884033203125,1.800018310546875
1762635758.923265,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.7683427734375, -0.3064578125, -1.0342951171875]",6180472,8.820068359375,-0.5457692742347717,8799096,"[-0.18310546872, -0.82397460924, 0.06103515624]","[-203.375, 449.5625, 252.25]",39.53599548339844,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,471189,20,-38.32524108886719,18.530757904052734,65.96395874023438,11.739096641540527,state.PRE_FLIGHT,8313,-55,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-69,0.0,9.884033203125,1.800018310546875
1762635758.9761846,"[0, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1558, 1483]","[9.3086560546875, -0.689530078125, -0.15322890625]",6181464,8.771453857421875,-0.4776398539543152,8799096,"[-0.06103515624, -0.06103515624, 0.09155273436]","[-203.875, 421.1875, 254.5625]",39.34849166870117,1,42.702613830566406,-77.19052124023438,-8.600006103515625,1.0499999523162842,0.5799999833106995,0.8700000047683716,471240,11,-38.33304977416992,18.531248092651367,65.96946716308594,11.693419456481934,state.PRE_FLIGHT,8314,-54,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",121,-68,0.0,9.884033203125,1.800018310546875
